x,y,Region
4.993428306022466,3.723471397657631,Red
5.295377076201385,7.046059712816051,Red
3.531693250553328,3.531726086101639,Red
7.158425631014783,5.534869458305818,Red
3.0610512281300957,5.085120087171929,Red
3.0731646143750755,3.068540492859486,Red
4.483924543132068,0.17343951068440422,Red
0.5501643349739345,2.8754249415180544,Red
1.9743377593311524,4.628494665190548,Red
2.1839518489575784,1.175392597329417,Red
6.931297537843108,3.5484473990269287,Red
4.1350564093758475,1.1505036275730864,Red
2.9112345509496347,4.2218451794197325,Red
1.6980128451553944,4.751396036691344,Red
2.79872262016239,3.4166125004134464,Red
2.796586775541206,7.704556369017876,Red
3.973005550524132,1.8845781420881993,Red
5.645089824206378,1.5583127000579555,Red
4.4177271900095105,0.08065975224044886,Red
1.343627902203139,4.393722471738247,Red
5.476933159990821,4.342736562379941,Red
3.768703435223519,3.3977926088214225,Red
1.0429560192651453,2.5603115832105825,Red
3.078722458080425,6.114244452437831,Red
4.687236579136923,0.4739196892745321,Red
4.64816793878959,3.229835439167367,Red
2.6461559993880828,5.2233525776817356,Red
6.061999044991902,5.862560238232398,Red
2.3215649535547227,3.3815752482975707,Red
4.662526862807128,5.951090254244718,Red
3.04165152430942,3.628682046672366,Red
1.7873300519879436,1.6075867518386584,Red
5.625051644788396,6.712480057141645,Red
3.855979756839332,6.007065795784048,Red
4.723272050095268,2.7097604907897512,Red
4.722791211016828,7.076073132931938,Red
3.9283479217800967,7.129287311628012,Red
-1.2394902081794887,5.643805008750448,Red
4.174094136476342,3.401985299068265,Red
4.183521553071005,0.0248621707982144,Red
3.560656224324976,4.7142251430234925,Red
6.955788089483033,2.9634595634527052,Red
2.3830127942136246,2.996485912830927,Red
5.830804235404148,4.657502219319369,Red
2.9404795924659224,5.026534866226712,Red
4.194155098696081,5.937289981065779,Red
2.5958938122452953,3.3446757068044635,Red
3.215783693735685,1.0729701037357628,Red
4.592240554129152,4.522110544359778,Red
4.010226913284922,3.5308257332497064,Red
1.1692585158991715,3.158709354469282,Red
3.314570966946461,2.395445461556762,Red
3.6774285766679817,4.8081017136290765,Red
7.772371802421061,4.349155625663678,Red
4.515100781445529,3.8511081684676656,Red
0.16245756940191702,3.946972249101566,Red
4.120460419882053,8.926484224970572,Red
3.615278070437755,4.603094684667225,Red
3.9305764605895135,1.662643924760936,Red
6.285645629030041,5.503866065373549,Red
5.582063894086094,2.181225090410522,Red
6.805588621872198,1.1962978744154382,Red
5.173714187600541,8.380911251619956,Red
2.0189273497386235,2.867404540794456,Red
4.199302730175282,2.9930486917676014,Red
0.8986731378677346,4.137125949612055,Red
1.8753925725477902,4.9471848612703635,Red
2.1611515315323935,7.099868810035079,Red
2.4334934153275256,3.3558769675886486,Red
5.62703443473934,1.5382713671320896,Red
7.4549198692082586,7.614285508564857,Blue
3.785033530877545,5.369267717064608,Blue
7.519765588496847,6.563645743554621,Blue
4.526098578243836,2.3590867738314474,Blue
8.043883131233795,5.5939693464663724,Blue
7.5009857006917535,5.692896418993952,Blue
5.639950556843019,5.464507394322007,Blue
7.586144946597362,3.571297163947264,Blue
10.731549022289514,5.947665841823575,Blue
4.617393005594703,6.313107217267659,Blue
5.050636659545357,6.574169207484904,Blue
9.317191158014808,3.358635363296579,Blue
8.926752258488644,5.825561853872997,Blue
8.64412031998898,8.793585965307894,Blue
6.509223767994259,3.492527671285021,Blue
5.220971140748953,3.3683794300691234,Blue
6.845796581171792,5.682303949633288,Blue
7.553381598660038,6.654366498072047,Blue
